VehicleType,Make,Model,StartingPrice(INR Lakhs),Range(km/charge),BatteryCapacity(kwh),ChargingTime(Mins),Top Speed(km/Hr),KerbWeight(Kg),TyreType,GroundClearance(mm),FastCharging
Scooters,Kinetic Green,Kinetic Green Zing,0.72,100 - 70 km/charge,,3-4 Hr,45 km/Hr,,Tubeless,160 mm,
Scooters,AMO Electric,AMO Electric Jaunty-3W,0.79,75 km/charge,,6 Hr,25 km/Hr,62 Kg,Tubeless,150 mm,Yes
Scooters,Ather Energy,Ather 450 Apex,1.89,157 km/charge,3.7 Kwh,5.45 Hr,100 km/Hr,111.6 Kg,Tubeless,170 mm,Yes
Scooters,Okinawa,Okinawa PraisePro,1.0,81 km/charge,,2-3 Hr,56 km/Hr,,Tubeless,175 mm,
Scooters,Hero Electric,Hero Electric Atria,0.78,85 km/charge,,4-5 Hr,25 km/Hr,,Tubeless,,
Scooters,Simple Energy,Simple Energy Dot One,1.0,151 km/charge,,,105 km/Hr,126 Kg,Tubeless,164.5 mm,Yes
Scooters,Okaya,Okaya Faast,1.25,120 - 140-160 km/charge,4.4 Kwh,4-6 Hr,65 km/Hr,,Tubeless,195 mm,Yes
Scooters,Ozotec,Ozotec Bheem,0.66,,,,65 km/Hr,,,,
Scooters,Hero Electric,Hero Electric Flash,0.6,85 km/charge,,4-5 Hr,25 km/Hr,,Tube,,
Scooters,Kinetic Green,Kinetic Green Zoom,0.75,100 - 70 km/charge,,3-4 Hr,40 km/Hr,,Tubeless,160 mm,
Scooters,BGauss,BGauss C12i,1.02,135 - 85 km/charge,,6-7 Hr,50 km/Hr,110 Kg,Tubeless,155 mm,
Scooters,Hero Electric,Hero Electric NYX,0.74,100 - 130 km/charge,,4-5 Hr,42 km/Hr,87 Kg,Tube,141 mm,
Scooters,BattRE Electric Mobility,BattRE Electric Mobility Storie,1.02,132 km/charge,3.12 Kwh,5 Hr,,105 Kg,Tubeless,200 mm,
Scooters,PURE EV,PURE EV Epluto 7G,0.9,90-120 km/charge,,4 Hr,60 km/Hr,79 Kg,Tubeless,,
Scooters,Komaki,Komaki XGT KM,0.57,130 - 85-90 km/charge,,8 Hr,,,Tubeless,,
Scooters,BattRE Electric Mobility,BattRE Electric Mobility LoEV,0.6,60-150 km/charge,,2.5 Hr,,60 Kg,Tubeless,160 mm,Yes
Scooters,Komaki,Komaki XGT X One,0.48,100 - 85-100 km/charge,,8 Hr,,,Tubeless,,
Scooters,Benling India,Benling India Aura,1.22,120 km/charge,,4 Hr,65 km/Hr,,Tubeless,165 mm,Yes
Scooters,Zelio,Zelio Gracyi,0.57,60-120 km/charge,,4-5 Hr,,118 Kg,Tubeless,,
Scooters,HCD India,HCD India NPS Cargo,0.81,70 km/charge,,3 Hr,25 km/Hr,80 Kg,Tubeless,,Yes
Scooters,Sokudo,Sokudo Acute,0.95,100 - 150 km/charge,3.1 Kwh,4 Hr,65 km/Hr,,Tubeless,175 mm,Yes
Scooters,Ozotec,Ozotec Flio,1.14,,,6 Hr,,,Tubeless,160 mm,Yes
Scooters,BGauss,BGauss D15,1.25,115 km/charge,,5.5 Hr,60 km/Hr,109 Kg,Tubeless,175 mm,Yes
Scooters,Avon,Avon E Scoot,0.45,65 km/charge,0.96 Kwh,6-8 Hr,24 km/Hr,,Tubeless,,
Scooters,Hop Electric,Hop Electric LEO,0.84,125 - 70 km/charge,2 Kwh,3 Hr,52 km/Hr,80 Kg,Tubeless,160 mm,
Scooters,BNC Motors,BNC Motors Challenger,1.18,90 km/charge,,3-4 Hr,75 km/Hr,,Tubeless,258 mm,Yes
Scooters,PURE EV,PURE EV Epluto 7G Max,1.15,150-201 km/charge,,,60 km/Hr,,Tubeless,,
Scooters,ADMS,ADMS Mantra,0.98,60-100 km/charge,,4-8 Hr,,,,,
Scooters,Okinawa,Okinawa Dual 100,1.19,110-120 km/charge,,5-6 Hr,25 km/Hr,,,150 mm,
Scooters,Deltic,Deltic Drixx,0.58,70-100 km/charge,1.58 Kwh,5-6 Hr,25 km/Hr,57 Kg,,190 mm,
Scooters,Zelio,Zelio Eeva,0.55,60-120 km/charge,,4-5 Hr,,118 Kg,Tubeless,,
Scooters,AMO Electric,AMO Electric Jaunty,0.6,60 - 80-90 km/charge,,6 Hr,25 km/Hr,62 Kg,Tubeless,150 mm,Yes
Scooters,Revamp Moto,Revamp Moto RM Buddie 25,0.7,70 km/charge,,3 Hr,25 km/Hr,60-65 Kg,Tubeless,165 mm,
